,smiles,per_inh
150,CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1c(CCc2ccc(F)cc2)nc(=O)c2sccc21.O=C(O)[C@H](O)[C@@H](O)C(=O)O,1.0
151,O=C(Cn1c(CCc2cccc(F)c2F)nc(=O)c2ccccc21)N(CCCN1CCCCC1)Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1.O=C(O)[C@H](O)[C@@H](O)C(=O)O,1.0
152,CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1c(SCc2ccc(F)c(F)c2F)nc(=O)c2c1CCC2.O=C(O)[C@H](O)[C@@H](O)C(=O)O,1.0
153,CCN1CCC(N(Cc2ccc(-c3ccc(C(F)(F)F)cc3)cc2)C(=O)Cn2c(CCc3cccc(F)c3F)cc(=O)c3ccccc32)CC1.O=C(O)[C@H](O)[C@@H](O)C(=O)O,1.0
154,CC(C)CCNC(=O)C1Cc2c([nH]c3ccc(Br)cc23)C2(CCN(Cc3ccccc3)CC2)N1,1.0
155,CCCCCCNC(=O)C1Cc2c([nH]c3ccc(Br)cc23)C2(CCN(Cc3ccccc3)CC2)N1,1.0
156,CCN1CCC(N(Cc2ccc(-c3ccc(Cl)cc3)cc2)C(=O)Cn2c(CCc3cccc(F)c3F)cc(=O)c3ccccc32)CC1.O=C(O)[C@H](O)[C@@H](O)C(=O)O,1.0
157,CN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1c(CCc2cccc(F)c2F)cc(=O)c2ccc(OCC3CCCN3C)cc21.O=C(O)[C@H](O)[C@@H](O)C(=O)O,1.0
158,CC(C)Oc1cc2c(cc1NS(=O)(=O)c1ccc(-c3ccc(Cl)cc3)cc1)CCN(C)CC2.Cl,1.0
159,CCN(CC)CCCNc1ncc2c(-c3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)c(F)c3)nn(C)c2n1.O=C(O)C(F)(F)F,1.0
160,CN1CCCC1CCNc1ncc2c(-c3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)c(F)c3)nn(C)c2n1.O=C(O)C(F)(F)F,1.0
161,CN1CCN(CCCNc2ncc3c(-c4ccc(NC(=O)Nc5cc(C(F)(F)F)ccc5F)c(F)c4)nn(C)c3n2)CC1.O=C(O)C(F)(F)F,1.0
